Date,Dividend Per Share,Share Price,,
12/28/76,0.17,14.64,,
3/29/77,0.13,13.66,,
6/29/77,0.13,13.71,,
9/29/77,0.13,13.13,,
12/30/77,0.18,13.01,,
3/30/78,0.14,12.22,,
6/29/78,0.14,13.06,,
9/28/78,0.14,13.96,,
12/28/78,0.23,13.13,,
3/28/79,0.15,13.94,,
6/28/79,0.15,14.07,,
9/28/79,0.15,15,,
12/28/79,0.36,14.65,,
3/27/80,0.16,13.69,,
6/27/80,0.16,15.79,,
9/30/80,0.16,17.08,,
12/30/80,0.88,17.79,,
3/27/81,0.18,17.7,,
6/30/81,0.18,17.27,,
9/30/81,0.18,15.33,,
12/29/81,0.85,15.41,,
3/30/82,0.18,14.27,,
6/29/82,0.18,14.06,,
9/28/82,0.18,15.72,,
12/28/82,0.54,17.58,,
3/29/83,0.18,18.91,,
6/28/83,0.18,20.63,,
9/28/83,0.18,20.93,,
12/28/83,1.04,19.75,,
3/28/84,0.18,19.17,,
6/28/84,0.18,18.36,,
9/28/84,0.18,19.98,,
12/28/84,0.82,19.41,,
3/28/85,0.18,20.98,,
6/28/85,0.18,22.46,,
9/30/85,0.18,21.38,,
12/27/85,1.98,22.81,,
3/27/86,0.18,26.02,,
6/27/86,0.18,27.2,,
9/30/86,0.18,25.21,,
12/9/86,1.72,25.63,,
12/30/86,0.65,24.4,,
3/27/87,0.18,29.66,,
6/29/87,0.18,30.91,,
9/29/87,0.18,32.3,,
12/29/87,0.32,24.4,,
1/5/88,0.19,25.62,,
3/29/88,0.18,25.78,,
6/28/88,0.18,27.03,,
9/28/88,0.18,26.77,,
12/29/88,0.69,27.34,,
3/29/89,0.35,28.5,,
6/28/89,0.18,31.85,,
9/28/89,0.18,34.14,,
12/28/89,1.24,33.38,,
3/28/90,0.23,32.58,,
6/27/90,0.18,33.93,,
9/27/90,0.18,28.84,,
12/27/90,0.68,31.06,,
3/27/91,0.25,35.52,,
6/27/91,0.18,35.52,,
9/26/91,0.18,36.77,,
12/27/91,0.66,38.31,,
3/26/92,0.22,38.47,,
6/24/92,0.22,38.15,,
9/24/92,0.22,39.6,,
12/29/92,0.56,41.18,,
3/24/93,0.25,42.12,,
6/23/93,0.22,41.73,,
9/22/93,0.22,43.01,,
12/29/93,0.47,44.21,,
3/23/94,0.3,43.97,,
6/22/94,0.22,42.6,,
9/21/94,0.22,43.47,,
12/28/94,0.63,43.11,,
3/22/95,0.22,46.42,,
6/21/95,0.22,51.05,,
9/26/95,0.22,54.68,,
12/22/95,0.69,57.18,,
3/26/96,0.26,61.11,,
6/25/96,0.22,62.68,,
9/25/96,0.22,64.43,,
12/20/96,0.83,69.86,,
3/25/97,0.31,73.66,,
6/25/97,0.27,83.08,,
9/24/97,0.27,88.36,,
12/23/97,1.0599,87.11,,
3/27/98,0.39,101.63,,
6/26/98,0.27,105.22,,
9/25/98,0.27,97.1,,
12/22/98,0.82,111.5,,
3/26/99,0.725,118.55,,
6/25/99,0.38,121.5,,
9/24/99,0.35,118.01,,
12/23/99,0.95,134.31,,
3/24/00,0.3,140.74,,
6/23/00,0.31,132.89,,
9/22/00,0.32,133.69,,
12/22/00,0.37,120.52,,
3/16/01,0.29,106.16,,
6/22/01,0.28,113.09,,
9/21/01,0.32,89.08,,
12/28/01,0.385,107.08,,
3/22/02,0.29,105.96,,
6/21/02,0.3,91.22,,
9/27/02,0.35,76.37,,
12/27/02,0.42,80.73,,
3/28/03,0.3,79.69,,
6/20/03,0.3,91.94,,
9/26/03,0.36,92.08,,
12/26/03,0.47,101.15,,
3/26/04,0.36,102.3,,
6/25/04,0.35,104.78,,
9/24/04,0.41,102.55,,
12/23/04,0.83,111.45,,
3/23/05,0.43,107.99,,
6/24/05,0.42,109.8,,
9/23/05,0.53,111.93,,
12/28/05,0.6,115.82,,
3/17/06,0.49,120.35,,
6/23/06,0.48,114.6,,
9/22/06,0.52,121.08,,
12/26/06,0.65,130.43,,
3/23/07,0.55,132.2,,
6/22/07,0.57,138.32,,
9/21/07,0.62,140.49,,
12/21/07,0.75,136.59,,
3/27/08,0.6,122.02,,
6/26/08,0.57,118.12,,
9/25/08,0.635,111.27,,
12/26/08,0.7,80.23,,
3/26/09,0.528,76.64,,
6/23/09,0.435,82.46,,
9/28/09,0.482,97.98,,
12/28/09,0.659,103.81,,
3/29/10,0.437,108.07,,
6/28/10,0.506,98.93,,
9/23/10,0.529,103.52,,
12/23/10,0.494,115.72,,
3/24/11,0.505,120.59,,
6/23/11,0.536,118.19,,
9/22/11,0.554,103.97,,
12/22/11,0.651,115.43,,
3/23/12,0.536,128.69,,
6/22/12,0.607,122.99,,
9/21/12,0.651,134.57,,
12/21/12,0.905,131.69,,
3/21/13,0.635,142.4,,
6/21/13,0.697,146.72,,
9/20/13,0.747,157.57,,
12/23/13,0.869,168.42,,
3/21/14,0.734,172.04,,
6/20/14,0.762,181.01,,
9/19/14,0.826,185.43,,
12/17/14,0.981,185.53,,
3/20/15,0.934,194.32,,
6/19/15,0.86,194.57,,
9/18/15,0.911,180.57,,
12/18/15,1.042,184.84,,
3/18/16,0.962,188.97,,
6/20/16,0.908,192.15,,
9/12/16,0.852,199.17,,
12/21/16,1.254,208.9,,
3/21/17,0.961,216.27,,
6/22/17,0.96,224.71,,
9/19/17,1.129,231.32,,
12/22/17,1.1262,247.63,,
3/23/18,1.0277,238.91,,
6/27/18,1.0983,249.21,,
9/25/18,1.1502,269.18,,
12/14/18,1.2238,239.88,,
3/20/19,1.3902,260.52,,
6/26/19,1.3078,268.78,,
9/25/19,1.2287,275.4,,
12/20/19,1.3651,297.18,,
3/9/20,1.1129,253.22,,
6/26/20,1.3546,277.65,,
9/28/20,1.2328,309.23,,
12/21/20,1.311,340.84,,
3/25/21,1.1664,360.81,,
6/28/21,1.2331,396.02,,
9/28/21,1.2033,401.77,,
12/20/21,1.4361,421.44,,
3/23/22,1.2596,411.25,,
6/28/22,1.3303,352.67,,
9/27/22,1.3782,336.5,,
12/19/22,1.5943,352,,
3/23/23,1.391,364.25,,
